n,network_type,logic_type,mean_slope,std_slope,mean_convergence_time,std_convergence_time,mean_final_disagreement,std_final_disagreement,mean_topic1_disagreement,mean_topic2_disagreement,mean_topic3_disagreement,convergence_rate,actual_repeats,repeat_stop_reason,slope_ci_half_width,slope_ci_target,mean_slope_from_mean_distance,mean_intercept_from_mean_distance
4,small_world,heterogeneous_cascade,-0.514240322837959,0.05885566401541615,33.2,3.6757463338907264,7.446515043957056e-10,5.293691233909389e-10,1.5622715018154188e-11,1.5625833043109032e-11,8.664397972863115e-10,1.0,10,ci_stable,0.036479118492103974,0.0514240322837959,-0.46325126318449644,-1.9963558153472927
4,small_world,independent,-1.439274330675974,0.3712445345539613,17.666666666666668,3.043742403044639,9.557311977266731e-11,1.7642979009967862e-10,6.708284021593629e-11,3.958164007646045e-11,5.6908871012918404e-11,1.0,30,ci_stable,0.132848150538131,0.14392743306759742,-0.8002405856835151,-1.7592009882549364
5,cycle_baseline,cascade,-0.22341854800487101,0.010353209769553492,74.5,5.359311730271178,2.6554741502969834e-08,7.704860990093312e-09,1.67469691544006e-08,1.67469691544006e-08,1.674696915757394e-08,1.0,10,ci_stable,0.0064169858971980225,0.0223418548004871,-0.22138871857780337,-0.2231876435162814
5,cycle_baseline,heterogeneous_cascade,-0.2337299605531558,0.02518437317080271,72.1,8.102811583367561,2.672225761470706e-08,9.041919056268652e-09,1.769599410220008e-08,1.7695994099362467e-08,1.7695994162564456e-08,1.0,10,ci_stable,0.015609436210021166,0.023372996055315582,-0.21587011564984887,-0.5184978177468437
5,cycle_baseline,independent,-0.2259865726219346,0.01833496291012085,75.7,5.313504806936128,2.5217034668365814e-08,5.215127204013733e-09,1.408461699808813e-08,1.2615424033895215e-08,1.544564967157108e-08,1.0,10,ci_stable,0.011364127747695428,0.022598657262193463,-0.2164083725488139,-0.307256360305132
5,random_strong,cascade,-0.3737049522298017,0.10424717890254269,50.53333333333333,13.072037366820073,1.149382005356053e-08,8.10839296700452e-09,7.699900848935116e-09,7.699900848940484e-09,7.699900841010279e-09,1.0,30,ci_stable,0.037304373874916856,0.037370495222980166,-0.23154965777005315,-1.8815495374910822
5,random_strong,heterogeneous_cascade,-0.3483737727994998,0.11547741522100444,53.9,13.852299697037736,2.251258946856358e-08,2.653346423695807e-08,1.5061569491347667e-08,1.5061569495591875e-08,1.5059793983046742e-08,1.0,30,max_repeats_reached,0.04132306232997057,0.034837377279949996,-0.22741011487601367,-1.6438870470790123
5,random_strong,independent,-0.37597101251519865,0.13835803603916935,52.666666666666664,15.870887104105563,1.8291145315747444e-08,1.4461648196352368e-08,1.0844760152651566e-08,8.836869059376304e-09,1.1184549447385173e-08,1.0,30,max_repeats_reached,0.04951078733583363,0.03759710125151986,-0.2218374454627921,-1.4202421632259983
5,scale_free,cascade,-0.5100952419924911,0.0194629187832817,34.3,2.4060109910158114,1.4400549784175016e-09,2.9410788725519883e-09,9.900090418305958e-10,9.900090464451618e-10,9.900090369778068e-10,1.0,10,ci_stable,0.012063242040928485,0.051009524199249125,-0.4976629386731085,-1.112310942000052
5,scale_free,heterogeneous_cascade,-0.4953301745844473,0.04275804451819181,35.6,3.2041639575194436,1.7650085755553302e-09,2.1402899683985477e-09,7.068211018728366e-10,7.068219890843446e-10,1.4998835051364658e-09,1.0,10,ci_stable,0.026501710558583157,0.049533017458444725,-0.47678504185832066,-1.1006320685481965
5,scale_free,independent,-0.8977898593291506,0.2804303963987599,25.3,7.120393247567158,1.840790006296125e-09,4.0664387150476105e-09,1.4637018249853777e-09,7.767109311349088e-10,9.959473393528745e-10,1.0,30,max_repeats_reached,0.10035072855957465,0.08977898593291506,-0.3123404468613366,-4.529954079784831
5,small_world,cascade,-0.5211391618038484,0.030825359443166667,33.1,2.6012817353502213,6.096366253979223e-17,4.6988963086097776e-17,2.961170072659885e-17,3.923814808865338e-17,4.45454212746522e-17,1.0,10,ci_stable,0.019105755724622114,0.052113916180384856,-0.5107886136116379,-1.1825832070965798
5,small_world,heterogeneous_cascade,-0.49468781113360516,0.059330397374655154,34.4,4.575295983139597,8.133380016629933e-10,2.1238735997987242e-10,9.238810155650368e-17,1.9478715149881136e-14,9.695851400330994e-10,1.0,10,ci_stable,0.036773361276609795,0.04946878111336052,-0.4365202404532916,-1.9833484015073286
5,small_world,independent,-1.3980594194059166,0.3026378435862752,17.64,3.053413390507963,1.8707119911586183e-10,6.769608294013807e-10,1.5934820748332365e-10,1.08422793564164e-10,3.220860640447483e-11,1.0,25,ci_stable,0.11863403468581987,0.13980594194059168,-0.674550311451848,-3.2082166090448205
6,cycle_baseline,cascade,-0.16150683882148317,0.01056744764427808,102.0,8.56348838577675,4.001855416723471e-08,1.0088505794645926e-08,2.6343050083793306e-08,2.63430500833783e-08,2.634305008166164e-08,1.0,10,ci_stable,0.006549771907657911,0.01615068388214832,-0.15414259360629787,-0.41991502278320736
6,cycle_baseline,heterogeneous_cascade,-0.16185260863559683,0.016079310425491513,102.2,10.086294331087771,4.0873877924394084e-08,1.3601891618979208e-08,2.684975273662923e-08,2.684975273336352e-08,2.6849752741320796e-08,1.0,10,ci_stable,0.00996605985329109,0.016185260863559685,-0.15147078368357528,-0.4975619209495073
6,cycle_baseline,independent,-0.15485051987425108,0.016132864104695856,104.8,7.254117604658906,4.763944429605135e-08,8.644645557335267e-09,2.6586481184733355e-08,3.012292025244705e-08,2.3515549108987126e-08,1.0,10,ci_stable,0.00999925276755116,0.015485051987425108,-0.14918016390758676,-0.8533550977857064
6,random_strong,cascade,-0.271208486455083,0.08851937913268643,67.63333333333334,19.96286782889731,3.614343796796527e-08,2.8433654884633174e-08,2.4384247566073423e-08,2.4384247566874465e-08,2.4384247563593476e-08,1.0,30,max_repeats_reached,0.03167625300851863,0.027120848645508303,-0.15441630188015634,-2.316777558734036
6,random_strong,heterogeneous_cascade,-0.33607133619697116,0.11752127330135397,57.766666666666666,17.137744858953138,2.1169162916213713e-08,1.771509012459508e-08,1.4524290278685888e-08,1.4524290335900778e-08,1.4560759408566939e-08,1.0,30,max_repeats_reached,0.0420544475509357,0.03360713361969712,-0.17777402467111614,-2.4476235269983606
6,random_strong,independent,-0.30002262220088277,0.11438214574543361,64.93333333333334,21.066288371403413,3.389827156171684e-08,3.438072149590795e-08,1.902873354884374e-08,1.910205465864141e-08,2.0350443613260403e-08,1.0,30,max_repeats_reached,0.0409311251817368,0.03000226222008828,-0.15271275044966368,-2.631952120541388
6,scale_free,cascade,-0.5187099563178946,0.02283687797508365,34.1,1.3703203194062987,1.5161073779912657e-09,3.066037417886844e-09,9.969053929075684e-10,9.969053898565995e-10,9.969054578784452e-10,1.0,10,ci_stable,0.014154443613525271,0.051870995631789464,-0.5144133619796495,-1.078821692985008
6,scale_free,heterogeneous_cascade,-0.5242892130656294,0.05003755418323243,33.8,2.0976176963403024,8.044684430490591e-10,7.79730460177321e-10,2.2035697638334237e-10,2.2036191207792005e-10,7.871772582273287e-10,1.0,10,ci_stable,0.031013597393567745,0.05242892130656294,-0.5081234052257981,-1.2481214931719087
6,scale_free,independent,-0.7895232949892965,0.2575642300348246,28.4,9.394055346977098,3.760268592852355e-09,6.808285161964339e-09,2.6352492630900217e-09,1.8194991700961724e-09,2.659252230472888e-09,1.0,30,max_repeats_reached,0.09216817601372837,0.07895232949892966,-0.3396473152632714,-2.8504645052462423
6,small_world,cascade,-0.5114700328517011,0.00168519887346414,34.5,0.8498365855987974,1.287109908161072e-14,3.3263462483485676e-14,8.514079033055776e-15,8.499022895507646e-15,8.506660864960949e-15,1.0,10,ci_stable,0.001044497083097333,0.051147003285170106,-0.5113552107071977,-0.9449206504480572
6,small_world,heterogeneous_cascade,-0.5033147878279814,0.03009400516695162,34.5,1.8408935028645435,4.85500570107206e-10,1.6943986501068012e-10,2.152856010131141e-16,4.085139713762091e-16,5.652034642728128e-10,1.0,10,ci_stable,0.018652457647910802,0.05033147878279814,-0.4937458196828533,-1.4411335474347269
6,small_world,independent,-1.1932282907968788,0.12668397544224796,19.0,1.3333333333333333,1.4885663691270784e-10,1.1681718684849999e-10,1.088764338195843e-10,8.425083543347171e-11,7.363137687776392e-11,1.0,10,ci_stable,0.07851954146669869,0.11932282907968789,-1.1061151208992859,-0.011531999719990419
7,cycle_baseline,cascade,-0.11742608977666529,0.010704572210771812,138.2,10.336558636434296,5.555998126867083e-08,1.8090414319473522e-08,3.620272084887149e-08,3.620272084979749e-08,3.6202720848798045e-08,1.0,10,ci_stable,0.006634762594501455,0.01174260897766653,-0.11185610648940728,-0.5924729882388857
7,cycle_baseline,heterogeneous_cascade,-0.11709064234187667,0.006765719671607053,136.2,8.270429251254136,4.977473871939043e-08,7.202382167961182e-09,3.234001150959402e-08,3.234001150802584e-08,3.234001151246627e-08,1.0,10,ci_stable,0.004193436497807006,0.011709064234187667,-0.11410337638030962,-0.7998438839866889
7,cycle_baseline,independent,-0.11735037553828798,0.0064872626909520965,136.4,7.7201036262475125,5.730463733437671e-08,8.487802238326148e-09,2.920880730972377e-08,3.782403825632101e-08,2.8087468165010252e-08,1.0,10,ci_stable,0.004020847073115358,0.011735037553828799,-0.11407499043311788,-0.6658932394349641
7,random_strong,cascade,-0.28194220106829704,0.10376025027141998,67.83333333333333,25.685207514393795,2.495538063110046e-08,1.972982973440136e-08,1.696039008790382e-08,1.6960390088147274e-08,1.696039008710232e-08,1.0,30,max_repeats_reached,0.03713012870207832,0.028194220106829704,-0.11147043809641924,-3.209559478385437
7,random_strong,heterogeneous_cascade,-0.25673773428137225,0.08438275316547715,72.93333333333334,26.876387962020818,2.7156785037544544e-08,1.5338476520831147e-08,1.842203581050372e-08,1.8422035810494288e-08,1.8416406001196667e-08,1.0,30,max_repeats_reached,0.030195980417106565,0.02567377342813723,-0.1062238792411541,-3.1711223490026477
7,random_strong,independent,-0.23843731517792627,0.09142697462426778,79.66666666666667,27.119573454754335,3.977464557305885e-08,2.8947553628488983e-08,2.358768544863118e-08,2.3437952952416332e-08,2.1554847831773918e-08,1.0,30,max_repeats_reached,0.0327167226925604,0.023843731517792625,-0.10653778249447826,-3.286762306036118
7,scale_free,cascade,-0.5123667155311157,0.07025116046041209,35.666666666666664,5.052109413285654,3.597920767316338e-09,6.277011529416034e-09,2.2930607587472317e-09,2.2930607560441225e-09,2.2930607464826756e-09,1.0,15,ci_stable,0.03555199240328301,0.05123667155311158,-0.33970583237983554,-2.951198914328247
7,scale_free,heterogeneous_cascade,-0.5084839244039387,0.05412384764418593,35.3,3.8887301554906353,2.351267366226044e-09,2.217480779263951e-09,1.239771820313547e-09,1.2397749847757355e-09,1.8130277100729478e-09,1.0,10,ci_stable,0.03354630832036297,0.050848392440393866,-0.47083770993353397,-0.9232804337778764
7,scale_free,independent,-0.721335771811052,0.19398517990662237,28.9,5.761644880078772,2.561427955992321e-09,3.578804569725e-09,1.4949038888513495e-09,1.3696712003877461e-09,1.8478389811150352e-09,1.0,30,ci_stable,0.0694167051196159,0.07213357718110522,-0.40382083613555303,-3.1941150393411033
7,small_world,cascade,-0.5350500944515306,0.05045599109629492,32.8,2.3475755815545347,1.1668896151425627e-10,3.689628595594905e-10,7.734013017409603e-11,7.734013321443487e-11,7.734010468435472e-11,1.0,10,ci_stable,0.03127294727923174,0.05350500944515307,-0.5134819075930321,-1.150739376440947
7,small_world,heterogeneous_cascade,-0.5142800407910837,0.03464733772164931,34.0,2.6246692913372693,5.528394423422552e-10,2.4858430717313414e-10,2.01836157534973e-14,3.275714091123869e-14,6.986041098382169e-10,1.0,10,ci_stable,0.021474642404050243,0.05142800407910837,-0.49178913600093,-1.3278343394954977
7,small_world,independent,-1.1346776987074918,0.10889640636337143,20.2,1.1352924243950933,1.3269090981924594e-10,1.0531904174316049e-10,9.053229425078944e-11,6.205569080256733e-11,9.37628400154978e-11,1.0,10,ci_stable,0.06749469193063938,0.11346776987074919,-1.069308416654424,0.34204026042263874
8,cycle_baseline,cascade,-0.08908573463918878,0.003884720725871866,170.6,11.266469426281391,9.499734279963593e-08,5.36662513790383e-08,6.06901874956165e-08,6.06901874956165e-08,6.06901874956165e-08,1.0,10,ci_stable,0.002407774851213868,0.008908573463918877,-0.08787221570658076,-0.9233319472234267
