convergence_time,converged,slope,intercept,final_disagreement,topic1_disagreement,topic2_disagreement,topic3_disagreement,final_distance,iterations_recorded,n,network_type,logic_type,repeat,seed
39,True,-0.4495181734208173,-0.1765411201580746,9.817136982737088e-09,6.891044893568048e-09,6.891044885781661e-09,6.891044903499061e-09,3.225491395455363e-08,39,19,scale_free,cascade,10,8381619
35,True,-0.4761810911216485,-1.4258485654303956,4.631932302242206e-09,3.0360880676108355e-09,3.0360880596898185e-09,3.036087884080759e-09,1.6592821313273085e-08,35,19,scale_free,cascade,11,930105519
36,True,-0.5161176233249839,-0.12951803423893155,1.7768833782082922e-09,1.2585133593212953e-09,1.2585133569095932e-09,1.2585133082016081e-09,1.3759107296082253e-08,36,19,scale_free,cascade,12,730336910
39,True,-0.4635488527620823,-0.8995681910024981,6.268599259262694e-09,4.460953864242626e-09,4.4609538638609815e-09,4.460953825447748e-09,1.709472719917321e-08,39,19,scale_free,cascade,13,502412993
47,True,-0.3738117761652055,-0.30031087555832514,7.2263342656745965e-09,5.099603873885717e-09,5.099603873885717e-09,5.099603868461118e-09,1.9812731936818883e-08,47,19,scale_free,cascade,14,986993981
51,True,-0.30183812390137493,-1.4283850346351001,2.8152883806242663e-08,2.0819678536789528e-08,2.0819678536789528e-08,2.0819678526341665e-08,6.776573812850116e-08,51,19,scale_free,cascade,15,971135151
42,True,-0.41968840716484046,-0.19699526655229938,5.512522631900231e-09,3.6306955301565907e-09,3.6306955280005726e-09,3.6306955281170003e-09,1.685764656812699e-08,42,19,scale_free,cascade,16,973951736
41,True,-0.4595426245919281,0.5454481151628674,2.463870006354938e-09,1.7954095166490275e-09,1.7954095166490275e-09,1.7954095230336882e-09,1.0152877822861853e-08,41,19,scale_free,cascade,17,880890947
33,True,-0.5683123870377669,-0.12400541159570315,9.814041291557281e-10,6.611664527177815e-10,6.611664515433135e-10,6.611663701119254e-10,1.3479663861084417e-08,33,19,scale_free,cascade,18,504545239
35,True,-0.5244182625556815,0.9167251470848478,9.176119655171329e-10,6.916334642696166e-10,6.916335139044683e-10,6.916334529701663e-10,4.874156445362315e-08,35,19,scale_free,cascade,19,726036756
37,True,-0.47852037041942447,-0.9915560522043464,3.264914959265207e-09,2.3789090421825416e-09,2.3789090435480315e-09,2.3789089757654606e-09,1.2241289424456653e-08,37,19,scale_free,cascade,20,859530791
50,True,-0.2969095200150297,-3.007594941347937,1.747108917757024e-08,1.6014340140220123e-08,1.6014340140220123e-08,1.6014340142249505e-08,3.832756771924574e-08,50,19,scale_free,cascade,21,163326615
54,True,-0.29736073871418506,-0.9782908803210801,2.2875572143057878e-08,1.709922293743968e-08,1.709922293743968e-08,1.7099222942432516e-08,5.4627697835807885e-08,54,19,scale_free,cascade,22,448252354
44,True,-0.41138689593252414,-0.029141022758172718,6.625668988467144e-09,4.542482441694451e-09,4.542482441694451e-09,4.542482440413325e-09,1.6795424972551516e-08,44,19,scale_free,cascade,23,128899149
35,True,-0.5239066698298253,-0.548708099477819,1.5908584342537017e-09,1.2011976206562019e-09,1.2011976213023199e-09,1.2011975644382525e-09,1.0467281081411942e-08,35,19,scale_free,cascade,24,279487373
37,True,-0.5209927754116431,0.006885574541390808,2.263186941115714e-09,1.6400566677737851e-09,1.6400566756846082e-09,1.810660189843457e-09,1.0084238315422982e-08,37,19,scale_free,heterogeneous_cascade,0,413516758
47,True,-0.328319301040856,-1.7321514499316386,2.5897963733414277e-08,1.845737438717218e-08,1.8457374386034046e-08,1.8457392707822778e-08,5.4748360583268235e-08,47,19,scale_free,heterogeneous_cascade,1,855475363
37,True,-0.46912389461225984,-1.371806941587284,6.140973475324532e-09,3.942564906510867e-09,3.942564909946414e-09,3.9280154186823634e-09,1.8692245019212578e-08,37,19,scale_free,heterogeneous_cascade,2,862665808
40,True,-0.4429974183546321,-0.246899303564364,9.677457218157132e-09,6.358990262928892e-09,6.358990261483548e-09,6.355805242145592e-09,2.8168616951256135e-08,40,19,scale_free,heterogeneous_cascade,3,389889468
36,True,-0.5078262467224246,-0.4084013832247223,1.1006342342329824e-09,7.174812275739649e-10,7.174812334615234e-10,7.730345048637128e-10,1.4876248263586613e-08,36,19,scale_free,heterogeneous_cascade,4,329195005
52,True,-0.3155752509063126,-1.2254297397687013,1.2933134043319509e-08,9.702495077737733e-09,9.702495079944643e-09,9.702573697775378e-09,2.900637493225604e-08,52,19,scale_free,heterogeneous_cascade,5,530723290
51,True,-0.36325377248767465,0.7779394482210616,8.936592555441302e-09,6.607039719041701e-09,6.607039717721652e-09,6.607017525623974e-09,2.2883237520900523e-08,51,19,scale_free,heterogeneous_cascade,6,911870750
61,True,-0.27852203960524813,-0.3986563954901665,1.6772474885869403e-08,1.206199310211721e-08,1.2061993102012618e-08,1.2061992896248629e-08,3.570911768290459e-08,61,19,scale_free,heterogeneous_cascade,7,976527066
35,True,-0.5490308479162735,0.20270416312799572,1.5930022867902223e-09,9.561575839284982e-10,9.56157493259804e-10,1.4491556601038022e-09,1.1634700425237712e-08,35,19,scale_free,heterogeneous_cascade,8,226764154
